"mRS_binned","mRS","mRS_3class","TSH","age","dx","PHV","PEV","sex","race","BL","CL","ICH_Score","DfCtB","NIHSS","Susp.Etiol.CAA","Susp.Etiol.HTN","RowNames"
1,0.847175603187559,0.756736131455062,0.0131136937433651,0.442127700038153,0.390585866646485,0.258482226973092,0.336371589573149,0.327326835353988,0.332754126408637,0.175491029540759,0.408248290463863,0.497717189634283,0.172003409987509,0.487931187607568,0.23814483610392,0.0321744726043896,"mRS_binned"
0.847175603187559,1,0.953415056719729,0.0395157053442341,0.418102853555457,0.449216127603989,0.354616186886829,0.382243995729278,0.207277221003599,0.358591921790989,0.0231275148667945,0.307554069064191,0.530113098559485,0.201467871352865,0.529011931703059,0.188649813667643,0.0231275148667946,"mRS"
0.756736131455062,0.953415056719729,1,0.112620687353784,0.381734722886923,0.290046520625544,0.356896380945922,0.482790339025785,0.145915073899885,0.355249100036753,0.250973578092955,0.383377127614601,0.570282918361596,0.344365285009568,0.572805103008116,0.196116135138184,0.333651703351783,"mRS_3class"
0.0131136937433651,0.0395157053442341,0.112620687353784,1,0.195799657581059,0.190714297216028,0.167961345060539,0.124781386894381,0.0569775598719582,0.087634659276968,0.288474726294178,0.464360832547363,0.343047326957182,0.0530124818390544,0.148001511614461,0.158743291503809,0.164540705848193,"TSH"
0.442127700038153,0.418102853555457,0.381734722886923,0.195799657581059,1,0.434896977587685,0.412897524987016,0.302586612266094,0.064795856447362,0.409921339545168,0.49965052661819,0.755269871545675,0.398865916592738,0.615233024574524,0.166835112549396,0.431486050850576,0.0659915789873082,"age"
0.390585866646485,0.449216127603989,0.290046520625544,0.190714297216028,0.434896977587685,1,0.438808543804858,0.356191540821563,0.260820265478651,0.243115072078234,0.188845243201721,0.502262454993548,0.184368467317293,0.413729408056757,0.167073786121071,0.676758927168785,0.388385048468658,"dx"
0.258482226973092,0.354616186886829,0.356896380945922,0.167961345060539,0.412897524987016,0.438808543804858,1,0.463470920897979,0.115155339199424,0.169922967122094,0.270801862549414,0.524264580018245,0.528066936211253,0.45663535635791,0.272865385098856,0.347666484457318,0.0251091279047753,"PHV"
0.336371589573149,0.382243995729278,0.482790339025785,0.124781386894381,0.302586612266094,0.356191540821563,0.463470920897979,1,0.0440293902249891,0.130593566808925,0.333718674952759,0.433366727874757,0.398202415965569,0.3183317667061,0.083831269179631,0.0310645210403158,0.136172696489298,"PEV"
0.327326835353988,0.207277221003599,0.145915073899885,0.0569775598719582,0.064795856447362,0.260820265478651,0.115155339199424,0.0440293902249891,1,0.23064996154759,0.17456689973896,0.453866608112101,0.106084962613014,0.178839524735913,0.0965706339363387,0.133630620956212,0.358073322090465,"sex"
0.332754126408637,0.358591921790989,0.355249100036753,0.087634659276968,0.409921339545168,0.243115072078234,0.169922967122094,0.130593566808925,0.23064996154759,1,0.219678985528361,0.424009375624271,0.166331388381707,0.400392737787504,0.141772361744432,0.329842835751054,0.266291143459346,"race"
0.175491029540759,0.0231275148667945,0.250973578092955,0.288474726294178,0.49965052661819,0.188845243201721,0.270801862549414,0.333718674952759,0.17456689973896,0.219678985528361,1,1,0.0625654976251274,0.503397669693071,0.364674629385366,0.183892428122457,0.135511951734605,"BL"
0.408248290463863,0.307554069064191,0.383377127614601,0.464360832547363,0.755269871545675,0.502262454993548,0.524264580018245,0.433366727874757,0.453866608112101,0.424009375624271,1,1,0.660851610206095,0.915089154873447,0.698611801779089,0.666666666666667,0.396300550085696,"CL"
0.497717189634283,0.530113098559485,0.570282918361596,0.343047326957182,0.398865916592738,0.184368467317293,0.528066936211253,0.398202415965569,0.106084962613014,0.166331388381707,0.0625654976251274,0.660851610206095,1,0.376377474303483,0.584735502404879,0.155938193709029,0.0625654976251275,"ICH_Score"
0.172003409987509,0.201467871352865,0.344365285009568,0.0530124818390544,0.615233024574524,0.413729408056757,0.45663535635791,0.3183317667061,0.178839524735913,0.400392737787504,0.503397669693071,0.915089154873447,0.376377474303483,1,0.0892759561376084,0.456242883255866,0.0846986555356597,"DfCtB"
0.487931187607568,0.529011931703059,0.572805103008116,0.148001511614461,0.166835112549396,0.167073786121071,0.272865385098856,0.083831269179631,0.0965706339363387,0.141772361744432,0.364674629385366,0.698611801779089,0.584735502404879,0.0892759561376084,1,0.0277949404471803,0.16210056537342,"NIHSS"
0.23814483610392,0.188649813667643,0.196116135138184,0.158743291503809,0.431486050850576,0.676758927168785,0.347666484457318,0.0310645210403158,0.133630620956212,0.329842835751054,0.183892428122457,0.666666666666667,0.155938193709029,0.456242883255866,0.0277949404471803,1,0.31524416249564,"Susp.Etiol.CAA"
0.0321744726043896,0.0231275148667946,0.333651703351783,0.164540705848193,0.0659915789873082,0.388385048468658,0.0251091279047753,0.136172696489298,0.358073322090465,0.266291143459346,0.135511951734605,0.396300550085696,0.0625654976251275,0.0846986555356597,0.16210056537342,0.31524416249564,1,"Susp.Etiol.HTN"
